2026/03/26 15:05:50:722	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 15:06:59:805	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 15:06:59:805	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:false;false;false;false,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P7:1;TM7000-TM7000-TM7000-TM7000 NG,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 15:08:41:882	Station:AOI2,DisConnect IP:127.0.0.1,Port:6003
2026/03/26 15:09:07:177	Station:AOI2,RemoteConnect IP:127.0.0.1,Port:6003
2026/03/26 15:09:27:343	Station:AOI2,DisConnect IP:127.0.0.1,Port:6003
2026/03/26 15:11:51:053	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 15:12:13:023	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 15:12:23:601	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 15:12:23:623	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:false;false;false;false,P6:;;;,P7:1;Inspection Error,P8:,P9:
2026/03/26 15:12:49:664	Station:AOI1,DisConnect IP:127.0.0.1,Port:6002
2026/03/26 15:13:38:395	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 15:14:41:215	Station:AOI1,RemoteConnect IP:127.0.0.1,Port:6002
2026/03/26 15:14:41:217	Station:AOI1,request Command:AOI_RESULT,P1:AOI1,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5:false;false;false;false,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P7:1;TM7000-TM7000-TM7000-TM7000 NG,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
2026/03/26 15:22:55:739	Station:AOI3,RemoteConnect IP:127.0.0.1,Port:6004
2026/03/26 15:22:55:742	Station:AOI3,DisConnect IP:127.0.0.1,Port:6004
2026/03/26 15:22:58:791	Station:AOI2,RemoteConnect IP:127.0.0.1,Port:6003
2026/03/26 15:23:02:597	Station:AOI2,request Command:AOI_RESULT,P1:AAA1234,P2:1;2;3;4,P3:A1;A2;A3;A4,P4: false;false;false;false,P5:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P6:1;TM7000-TM7000-TM7000-TM7000 NG,P7:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P8:,P9:
2026/03/26 15:23:04:419	Station:AOI3,RemoteConnect IP:127.0.0.1,Port:6004
2026/03/26 15:23:17:165	Station:AOI2,request Command:AOI_RESULT,P1:AAA1234,P2:1;2;3;4,P3:A1;A2;A3;A4,P4: false;false;false;false,P5:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P6:1;TM7000-TM7000-TM7000-TM7000 NG,P7:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P8:,P9:
2026/03/26 15:23:34:890	Station:AOI2,RemoteConnect IP:127.0.0.1,Port:6003
2026/03/26 15:23:41:876	Station:AOI3,request Command:AOI_RESULT,P1:AAA1234,P2:1;2;3;4,P3:A1;A2;A3;A4,P4: false;false;false;false,P5:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P6:1;TM7000-TM7000-TM7000-TM7000 NG,P7:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P8:,P9:
2026/03/26 15:23:59:954	Station:AOI2,request Command:AOI_RESULT,P1:AAA1234,P2:1;2;3;4,P3:A1;A2;A3;A4,P4: false;false;false;false,P5:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P6:1;TM7000-TM7000-TM7000-TM7000 NG,P7:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P8:,P9:
2026/03/26 15:31:29:368	Station:AOI2,request Command:AOI_RESULT,P1:AOI2,P2:AAA1234,P3:1;2;3;4,P4:A1;A2;A3;A4,P5: false;false;false;false,P6:D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip;D:\MidCamera_Channel1\MidCamera\MidCameraUI\bin\x64\Result\20260326\AAA1234_A1_A2_A3_A4.zip,P7:1;TM7000-TM7000-TM7000-TM7000 NG,P8:Grabber_OK#Aligner_OK#Processor_OK#Reporter_OK,P9:
